SPECIES,LO,HI,TIME_rel,KG_HR,DAYS,KG_HR_DAY
WBPA,>=0.04,<0.08,0.04,0,79,0
WBPA,>=0.08,<0.12,0.08,0,79,0
WBPA,>=0.12,<0.16,0.12,0,79,0
WBPA,>=0.16,<0.2,0.16,0,79,0
WBPA,>=0.2,<0.24,0.2,0,79,0
WBPA,>=0.24,<0.28,0.24,0,79,0
WBPA,>=0.28,<0.32,0.28,0.27125,79,0.003433544
WBPA,>=0.32,<0.36,0.32,0.03875,79,0.000490506
WBPA,>=0.36,<0.4,0.36,0.064583333,79,0.000817511
WBPA,>=0.4,<0.44,0.4,0.19375,79,0.002452532
WBPA,>=0.44,<0.48,0.44,0.0775,79,0.000981013
WBPA,>=0.48,<0.52,0.48,0.051666667,79,0.000654008
WBPA,>=0.52,<0.56,0.52,0.025833333,79,0.000327004
WBPA,>=0.56,<0.6,0.56,0.361666667,79,0.004578059
WBPA,>=0.6,<0.64,0.6,0.051666667,79,0.000654008
WBPA,>=0.64,<0.68,0.64,0.051666667,79,0.000654008
WBPA,>=0.68,<0.72,0.68,0,79,0
WBPA,>=0.72,<0.76,0.72,0.142083333,79,0.001798523
WBPA,>=0.76,<0.8,0.76,0.103333333,79,0.001308017
WBPA,>=0.8,<0.84,0.8,0.025833333,79,0.000327004
WBPA,>=0.84,<0.88,0.84,0.2325,79,0.002943038
WBPA,>=0.88,<0.92,0.88,0,79,0
WBPA,>=0.92,<0.96,0.92,0,79,0
WBPA,>=0.96,<1,0.96,0,79,0
WBPA,>=1,<0,1,0,79,0
