ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,Lw,S1,Hwi,TWAi,E,CULM_SL,CULM_CL,MAND_SL,MAND_CL,SCMi,NOTES,RECORDER
112,Carnegie MNH,P143555,,Brotogeris,tirica,skin study,11.9,7.1,40.33613445,0.025347,--,1.7,1.9,0.85,1,2.55,left wing,KV
113,Carnegie MNH,P143555,,Brotogeris,tirica,skin study,11.8,7,40.6779661,0.02478,--,--,--,--,--,--,right wing,KV
114,Carnegie MNH,P143559,,Brotogeris,tirica,skin study,11.8,6.8,42.37288136,0.024072,--,1.62,2,0.93,1,2.55,left wing,KV
115,Carnegie MNH,P143559,,Brotogeris,tirica,skin study,12,7.2,40,0.02592,--,--,--,--,--,--,right wing,KV
116,Carnegie MNH,S7782,,Brotogeris,tirica,wing spread,8.6,5,41.86046512,0.0129,12.3,--,--,--,--,--,left wing,KV
117,Carnegie MNH,S15755,,Forpus,coelestis,wing spread,8.1,4.8,40.74074074,0.011664,9.4,--,--,--,--,--,left wing,KV
118,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,8,5,37.5,0.012,--,1,1.2,0.75,0.8,1.75,left wing,KV
119,Carnegie MNH,P38445,DBPA,Forpus,modestus,skin study,8.2,5.1,37.80487805,0.012546,--,--,--,--,--,--,right wing,KV
120,Carnegie MNH,P38446,DBPA,Forpus,modestus,skin study,8.3,5.2,37.34939759,0.012948,--,1.15,1.2,0.8,0.8,1.95,left wing,KV
121,Carnegie MNH,P38446,DBPA,Forpus,modestus,skin study,8.5,5.2,38.82352941,0.01326,--,--,--,--,--,--,right wing,KV
122,Carnegie MNH,P87913,DBPA,Forpus,modestus,skin study,7.5,5.1,32,0.011475,--,1.1,1.2,0.8,0.8,1.9,left wing,KV
123,Carnegie MNH,P87913,DBPA,Forpus,modestus,skin study,8,5.2,35,0.01248,--,--,--,--,--,--,right wing,KV
124,Carnegie MNH,P88239,DBPA,Forpus,modestus,skin study,7.7,5.1,33.76623377,0.011781,--,1.125,1.2,0.7,0.8,1.825,left wing,KV
125,Carnegie MNH,P88239,DBPA,Forpus,modestus,skin study,7.7,5.3,31.16883117,0.012243,--,--,--,--,--,--,right wing,KV
126,Carnegie MNH,P72174,GRMA,Orthopsittaca,manilatus,skin study,21.5,12.3,42.79069767,0.079335,--,2.157,3,1.67,1.7,3.827,left wing,KV
127,Carnegie MNH,P72174,GRMA,Orthopsittaca,manilatus,skin study,21.8,12.1,44.49541284,0.079134,--,--,--,--,--,--,right wing,KV
128,Carnegie MNH,P72387,GRMA,Orthopsittaca,manilatus,skin study,24.6,12.4,49.59349593,0.091512,--,2.662,3,1.6,1.9,4.262,left wing,KV
129,Carnegie MNH,P72387,GRMA,Orthopsittaca,manilatus,skin study,24,12.2,49.16666667,0.08784,--,--,--,--,--,--,right wing,KV
130,Carnegie MNH,P82626,GRMA,Orthopsittaca,manilatus,skin study,21.6,12.7,41.2037037,0.082296,--,2.81,3.2,1.7,1.8,4.51,left wing,KV
131,Carnegie MNH,P82626,GRMA,Orthopsittaca,manilatus,skin study,21.7,12.1,44.23963134,0.078771,--,--,--,--,--,--,right wing,KV
132,Carnegie MNH,S11732,GRMA,Orthopsittaca,manilatus,wing spread,22.5,11.5,48.88888889,0.077625,28.9,--,--,--,--,--,left wing,KV
133,Carnegie MNH,S14824,GRMA,Orthopsittaca,manilatus,wing spread,23.3,11.7,49.78540773,0.081783,31.5,--,--,--,--,--,left wing,KV
134,Carnegie MNH,S15493,GRMA,Orthopsittaca,manilatus,wing spread,24.2,11.8,51.23966942,0.085668,29.8,--,--,--,--,--,left wing,KV
