ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,NOTES,MORPH,MEASURE
175,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,right wing,wing_S1,23.000
176,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,left wing,wing_S1,23.500
177,Florida MNH,22116,SCMA,Ara,macao,wing spread,left wing,wing_S1,23.800
178,Florida MNH,4491,SCMA,Ara,macao,skin study,right wing,wing_S1,25.500
179,Florida MNH,4491,SCMA,Ara,macao,skin study,left wing,wing_S1,25.800
180,Florida MNH,15623,SCMA,Ara,macao,skin study,right wing,wing_S1,24.000
181,Florida MNH,15623,SCMA,Ara,macao,skin study,left wing,wing_S1,24.200
182,Florida MNH,37643,SCMA,Ara,macao,skin study,right wing,wing_S1,22.500
183,Florida MNH,37643,SCMA,Ara,macao,skin study,left wing,wing_S1,23.000
184,Florida MNH,22234,GRMA,Ara,severus,wing flat,right wing,wing_S1,14.600
185,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,left wing,wing_S1,8.000
186,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,right wing,wing_S1,8.500
187,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_S1,7.100
188,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_S1,7.200
189,Florida MNH,39658,WBPA,Pionites,leucogaster,skin study,right wing,wing_S1,9.700
190,Florida MNH,19167,OCPA,Pionopsitta,barrabandi,skin study,right wing,wing_S1,11.400
191,Florida MNH,19167,OCPA,Pionopsitta,barrabandi,skin study,left wing,wing_S1,11.000
193,Florida MNH,19166,BHPA,Pionus,menstruus,skin study,left wing,wing_S1,12.600
194,Florida MNH,19166,BHPA,Pionus,menstruus,skin study,right wing,wing_S1,12.700
195,Bishop Museum,185544,BYMA,Ara,ararauna,wing spread,left wing,wing_S1,22.090
196,Carnegie MNH,P33810,MEPA,Amazona,farinosa,skin study,left wing,wing_S1,17.300
197,Carnegie MNH,P33810,MEPA,Amazona,farinosa,skin study,right wing,wing_S1,17.300
198,Carnegie MNH,P32229,MEPA,Amazona,farinosa,skin study,left wing,wing_S1,17.000
199,Carnegie MNH,P32229,MEPA,Amazona,farinosa,skin study,right wing,wing_S1,17.200
200,Carnegie MNH,P61975,MEPA,Amazona,farinosa,skin study,left wing,wing_S1,16.500
201,Carnegie MNH,P61975,MEPA,Amazona,farinosa,skin study,right wing,wing_S1,17.200
202,Carnegie MNH,P67902,MEPA,Amazona,farinosa,skin study,left wing,wing_S1,17.200
203,Carnegie MNH,P67902,MEPA,Amazona,farinosa,skin study,right wing,wing_S1,17.000
206,Carnegie MNH,S11326,MEPA,Amazona,farinosa,wing spread,left wing,wing_S1,15.200
207,Carnegie MNH,S14152,MEPA,Amazona,farinosa,wing spread,left wing,wing_S1,16.200
208,Carnegie MNH,S14370,MEPA,Amazona,farinosa,wing spread,left wing,wing_S1,16.400
209,Carnegie MNH,S15502,MEPA,Amazona,farinosa,wing spread,left wing,wing_S1,16.600
210,Carnegie MNH,P60438,YCPA,Amazona,ochrocephala,skin study,left wing,wing_S1,16.300
211,Carnegie MNH,P60438,YCPA,Amazona,ochrocephala,skin study,right wing,wing_S1,15.200
212,Carnegie MNH,P84234,YCPA,Amazona,ochrocephala,skin study,left wing,wing_S1,14.700
213,Carnegie MNH,P84234,YCPA,Amazona,ochrocephala,skin study,right wing,wing_S1,14.900
214,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,left wing,wing_S1,15.900
215,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,right wing,wing_S1,16.400
216,Carnegie MNH,P96478,YCPA,Amazona,ochrocephala,skin study,left wing,wing_S1,15.700
217,Carnegie MNH,P96478,YCPA,Amazona,ochrocephala,skin study,right wing,wing_S1,15.200
218,Carnegie MNH,S46388,YCPA,Amazona,ochrocephala,wing spread,right wing,wing_S1,15.600
219,Carnegie MNH,S14137,YCPA,Amazona,ochrocephala,wing spread,left wing,wing_S1,14.800
220,Carnegie MNH,S16178,YCPA,Amazona,ochrocephala,wing spread,right wing,wing_S1,15.100
221,Carnegie MNH,P42994,BYMA,Ara,ararauna,skin study,left wing,wing_S1,22.000
222,Carnegie MNH,P42994,BYMA,Ara,ararauna,skin study,right wing,wing_S1,22.300
223,Carnegie MNH,P38264,BYMA,Ara,ararauna,skin study,left wing,wing_S1,20.000
224,Carnegie MNH,P38264,BYMA,Ara,ararauna,skin study,right wing,wing_S1,21.400
225,Carnegie MNH,P38309,BYMA,Ara,ararauna,skin study,left wing,wing_S1,21.300
226,Carnegie MNH,P38309,BYMA,Ara,ararauna,skin study,right wing,wing_S1,20.900
227,Carnegie MNH,P43728,BYMA,Ara,ararauna,skin study,left wing,wing_S1,21.000
228,Carnegie MNH,P43728,BYMA,Ara,ararauna,skin study,right wing,wing_S1,21.600
229,Carnegie MNH,P33815,RGMA,Ara,chloropterus,skin study,left wing,wing_S1,24.100
230,Carnegie MNH,P33815,RGMA,Ara,chloropterus,skin study,right wing,wing_S1,25.800
231,Carnegie MNH,P36190,RGMA,Ara,chloropterus,skin study,left wing,wing_S1,23.400
232,Carnegie MNH,P36190,RGMA,Ara,chloropterus,skin study,right wing,wing_S1,22.400
233,Carnegie MNH,P42862,RGMA,Ara,chloropterus,skin study,left wing,wing_S1,22.900
234,Carnegie MNH,P42862,RGMA,Ara,chloropterus,skin study,right wing,wing_S1,23.100
235,Carnegie MNH,P44057,RGMA,Ara,chloropterus,skin study,left wing,wing_S1,24.000
236,Carnegie MNH,P44057,RGMA,Ara,chloropterus,skin study,right wing,wing_S1,23.800
237,Carnegie MNH,P51882,RGMA,Ara,chloropterus,skin study,left wing,wing_S1,22.600
238,Carnegie MNH,P51882,RGMA,Ara,chloropterus,skin study,right wing,wing_S1,22.900
239,Carnegie MNH,S11015,RGMA,Ara,chloropterus,wing spread,left wing,wing_S1,24.000
240,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,left wing,wing_S1,20.800
241,Carnegie MNH,P32371,SCMA,Ara,macao,skin study,right wing,wing_S1,23.500
