DATE,TIME,TYPE,CAUSE,CATEGORY,ALARM
8/6/99,6:50,ccollpa,na,na,na
8/6/99,7:07,ccollpa,na,na,na
8/6/99,7:09,ccollpa,na,na,na
8/6/99,7:12,ccollpa,na,na,na
8/6/99,7:21,ccollpa,na,na,na
8/6/99,13:57,tree,raptor,natural,na
8/6/99,14:11,tree,trail,human,na
8/6/99,14:11,tree,trail,human,na
8/6/99,15:54,ccollpa,na,na,na
8/6/99,16:01,ccollpa,boat,human,na
8/6/99,16:12,ccollpa,boat,human,na
8/7/99,6:16,ccollpa,na,na,na
8/7/99,6:20,ccollpa,na,na,na
8/7/99,6:25,ccollpa,na,na,na
8/7/99,6:26,tree,na,na,na
8/7/99,6:26,ccollpa,na,na,na
8/7/99,6:27,tree,na,na,na
8/7/99,6:30,ccollpa,na,na,na
8/7/99,6:33,ccollpa,na,na,na
8/7/99,6:34,ccollpa,na,na,na
8/7/99,6:35,ccollpa,na,na,na
8/7/99,6:37,ccollpa,na,na,na
8/7/99,6:38,ccollpa,na,na,na
8/7/99,6:40,ccollpa,na,na,na
8/7/99,6:41,ccollpa,na,na,na
8/7/99,6:42,ccollpa,na,na,na
8/7/99,6:44,ccollpa,na,na,na
8/7/99,6:46,ccollpa,na,na,na
8/7/99,6:51,ccollpa,na,na,na
8/7/99,6:56,ccollpa,na,na,na
8/7/99,7:00,ccollpa,na,na,na
8/7/99,7:06,ccollpa,na,na,na
8/7/99,7:20,ccollpa,na,na,na
8/7/99,7:23,ccollpa,na,na,na
8/7/99,7:27,ccollpa,na,na,na
8/7/99,7:30,ccollpa,na,na,na
8/7/99,13:05,tree,raptor,natural,na
8/7/99,14:55,tree,trail,human,na
8/7/99,15:52,tree,boat,human,na
8/7/99,15:52,ccollpa,boat,human,na
8/8/99,6:24,ccollpa,na,na,na
8/8/99,6:26,ccollpa,na,na,na
8/8/99,6:27,tree,na,na,na
8/8/99,6:28,ccollpa,na,na,na
8/8/99,6:29,ccollpa,na,na,na
8/8/99,6:33,tree,na,na,na
8/8/99,6:33,ccollpa,na,na,na
8/8/99,6:50,tree,na,na,na
8/8/99,6:50,ccollpa,na,na,na
8/8/99,6:51,ccollpa,na,na,na
8/8/99,7:01,ccollpa,na,na,na
8/8/99,7:04,ccollpa,na,na,na
8/8/99,7:04,tree,na,na,na
8/8/99,12:10,ccollpa,na,na,na
8/8/99,12:39,tree,boat,human,na
8/8/99,14:22,ccollpa,na,na,na
8/8/99,14:25,ccollpa,na,na,na
8/8/99,14:41,ccollpa,na,na,na
8/8/99,14:44,tree,na,na,na
8/8/99,14:46,tree,na,na,na
8/8/99,14:52,tree,na,na,na
8/9/99,6:22,ccollpa,na,na,BYMA
8/9/99,6:23,ccollpa,heron,natural,na
8/9/99,6:34,ccollpa,na,na,na
8/9/99,6:37,ccollpa,na,na,na
8/9/99,6:38,ccollpa,na,na,na
8/9/99,6:39,ccollpa,na,na,na
8/9/99,6:45,ccollpa,na,na,na
8/9/99,7:02,ccollpa,rockfall,natural,na
8/9/99,7:08,ccollpa,na,na,na
8/9/99,7:11,ccollpa,na,na,na
8/9/99,7:14,ccollpa,na,na,na
8/9/99,13:57,ccollpa,raptor,natural,na
8/9/99,14:12,ccollpa,trail,human,Ara
8/9/99,14:13,tree,trail,human,Ara
8/10/99,5:57,ccollpa,na,na,na
8/10/99,6:10,ccollpa,na,na,na
8/10/99,6:15,ccollpa,na,na,na
8/10/99,6:24,ccollpa,na,na,na
8/10/99,6:27,ccollpa,na,na,na
8/10/99,6:27,tree,na,na,na
8/10/99,6:30,ccollpa,na,na,na
8/10/99,6:40,ccollpa,na,na,na
8/10/99,6:46,ccollpa,na,na,na
8/10/99,6:52,ccollpa,na,na,na
8/10/99,7:01,ccollpa,na,na,na
8/10/99,7:09,ccollpa,na,na,na
8/10/99,7:28,tree,boat,human,na
8/12/99,6:11,ccollpa,na,na,na
8/12/99,6:18,ccollpa,na,na,na
8/12/99,6:24,ccollpa,na,na,na
8/12/99,6:28,tree,na,na,na
8/12/99,6:28,ccollpa,na,na,na
8/12/99,6:55,ccollpa,na,na,na
8/12/99,7:04,ccollpa,na,na,na
8/12/99,7:06,tree,na,na,na
8/12/99,7:06,ccollpa,na,na,na
8/12/99,7:09,ccollpa,na,na,na
8/12/99,7:10,ccollpa,na,na,na
8/12/99,7:12,ccollpa,na,na,na
8/12/99,7:16,ccollpa,na,na,na
8/12/99,7:18,ccollpa,na,na,na
8/12/99,7:23,ccollpa,na,na,na
8/12/99,7:28,ccollpa,na,na,na
8/12/99,7:30,ccollpa,na,na,na
8/12/99,7:32,ccollpa,na,na,na
8/12/99,7:35,ccollpa,na,na,na
8/12/99,7:38,ccollpa,na,na,na
8/12/99,7:44,ccollpa,na,na,na
8/12/99,7:45,ccollpa,na,na,na
8/12/99,7:50,ccollpa,na,na,na
8/12/99,7:58,tree,boat,human,na
8/12/99,14:53,tree,na,na,na
8/12/99,15:13,tree,na,na,na
8/12/99,15:13,ccollpa,na,na,na
8/12/99,15:14,tree,na,na,na
8/12/99,15:22,ccollpa,boat,human,na
8/12/99,15:22,tree,boat,human,na
8/12/99,15:23,tree,boat,human,na
8/13/99,6:10,ccollpa,na,na,na
8/13/99,6:17,ccollpa,na,na,na
8/13/99,6:19,ccollpa,na,na,na
8/13/99,6:21,tree,na,na,na
8/13/99,6:27,ccollpa,na,na,na
8/13/99,6:28,ccollpa,na,na,na
8/13/99,6:29,ccollpa,na,na,na
8/13/99,6:32,ccollpa,na,na,na
8/13/99,6:41,tree,na,na,na
8/13/99,6:47,tree,na,na,na
8/13/99,6:47,ccollpa,na,na,na
8/13/99,6:49,ccollpa,na,na,na
8/13/99,6:55,ccollpa,na,na,na
8/13/99,6:56,ccollpa,na,na,na
8/13/99,6:59,ccollpa,na,na,na
8/13/99,7:03,ccollpa,na,na,na
8/13/99,7:06,ccollpa,na,na,na
8/13/99,7:10,ccollpa,na,na,na
8/13/99,7:28,ccollpa,rockfall,natural,na
8/13/99,7:30,ccollpa,boat,human,na
8/13/99,13:54,ccollpa,boat,human,na
8/13/99,14:50,ccollpa,na,na,na
8/13/99,14:52,ccollpa,rockfall,natural,na
8/13/99,15:05,tree,trail,human,na
8/13/99,15:05,ccollpa,trail,human,na
8/13/99,15:17,ccollpa,rockfall,natural,na
8/14/99,6:07,ccollpa,na,na,na
8/14/99,6:20,ccollpa,na,na,na
8/14/99,6:21,tree,na,na,na
8/14/99,6:23,ccollpa,na,na,na
8/14/99,6:24,ccollpa,rockfall,natural,na
8/14/99,6:26,ccollpa,rockfall,natural,na
8/14/99,6:42,tree,na,na,na
8/14/99,11:14,tree,raptor,natural,na
8/14/99,11:34,tree,raptor,natural,na
8/14/99,12:10,tree,boat,human,na
8/14/99,15:22,tree,boat,human,na
8/15/99,6:27,ccollpa,na,na,na
8/15/99,6:29,ccollpa,na,na,na
8/15/99,6:31,ccollpa,na,na,na
8/15/99,6:50,ccollpa,na,na,na
8/15/99,6:52,ccollpa,na,na,na
8/15/99,6:55,ccollpa,na,na,na
8/15/99,7:03,ccollpa,na,na,na
8/15/99,7:07,ccollpa,na,na,na
8/15/99,7:14,tree,na,na,na
8/15/99,7:21,ccollpa,na,na,na
8/15/99,7:39,ccollpa,na,na,na
8/15/99,7:42,ccollpa,na,na,na
8/15/99,7:42,tree,na,na,na
8/16/99,6:22,ccollpa,na,na,na
8/16/99,6:30,ccollpa,na,na,na
8/16/99,6:31,ccollpa,na,na,na
8/16/99,6:33,ccollpa,na,na,na
8/16/99,6:35,ccollpa,na,na,na
8/16/99,6:39,tree,na,na,na
8/16/99,6:44,ccollpa,na,na,na
8/16/99,6:46,ccollpa,na,na,na
8/16/99,6:58,ccollpa,na,na,na
8/16/99,7:13,ccollpa,na,na,MEPA
8/16/99,7:16,ccollpa,na,na,na
8/16/99,13:15,tree,trail,human,na
8/16/99,14:05,tree,boat,human,na
8/17/99,6:13,ccollpa,na,na,na
8/17/99,6:16,ccollpa,na,na,na
8/17/99,6:24,ccollpa,na,na,na
8/17/99,6:27,ccollpa,na,na,na
8/17/99,6:31,ccollpa,na,na,na
8/17/99,6:35,ccollpa,na,na,na
8/17/99,6:40,ccollpa,na,na,na
8/17/99,6:45,ccollpa,na,na,MEPA
8/17/99,6:52,ccollpa,na,na,na
8/17/99,6:59,ccollpa,guan,natural,na
8/17/99,7:17,ccollpa,na,na,na
8/17/99,9:18,tree,boat,human,na
8/17/99,9:44,tree,trail,human,na
8/17/99,11:15,tree,na,na,na
8/17/99,12:05,tree,trail,human,na
8/17/99,12:44,tree,na,na,na
8/17/99,13:23,tree,boat,human,na
8/17/99,13:38,tree,na,na,na
8/17/99,13:39,tree,na,na,na
8/17/99,13:55,tree,boat,human,na
8/17/99,14:21,tree,boat,human,na
8/18/99,6:14,ccollpa,na,na,na
8/18/99,6:19,ccollpa,na,na,na
8/18/99,6:22,ccollpa,na,na,na
8/18/99,6:28,ccollpa,na,na,na
8/18/99,6:29,ccollpa,na,na,na
8/18/99,6:38,ccollpa,na,na,na
8/18/99,6:39,ccollpa,na,na,na
8/18/99,6:45,ccollpa,na,na,na
8/18/99,6:59,ccollpa,na,na,na
8/18/99,7:10,ccollpa,na,na,na
8/18/99,7:10,tree,na,na,na
8/18/99,11:30,tree,raptor,natural,na
8/18/99,13:41,tree,boat,human,na
8/18/99,14:06,tree,boat,human,na
8/18/99,14:34,tree,boat,human,na
8/18/99,14:34,ccollpa,boat,human,na
8/19/99,5:49,tree,raptor,natural,na
8/19/99,6:02,tree,na,na,na
8/19/99,6:20,ccollpa,na,na,na
8/19/99,6:23,ccollpa,na,na,na
8/19/99,6:25,ccollpa,na,na,BYMA
8/19/99,6:37,ccollpa,na,na,MEPA
8/19/99,6:38,ccollpa,na,na,na
8/19/99,6:43,ccollpa,na,na,MEPA
8/19/99,6:49,ccollpa,na,na,MEPA
8/19/99,6:57,tree,na,na,na
